total_usage,max_pred
124.5,434.7466666666667
330,572.9456557810007
251,572.9456557810007
357,239.28083333333333
751,769.9740277777777
397,350.48333333333335
294,522.1949332611832
520.5,522.1949332611832
545,613.4534797637004
204.5,522.1949332611832
249,299.3204761904762
182.5,226.275
139,147.075
43,67.79166666666667
155.5,126.9341346153846
206,516.3756349206349
342.5,366.81428571428575
507,516.3756349206349
639,516.3756349206349
505.5,366.81428571428575
714,613.4534797637004
623.5,522.1949332611832
2028,572.9456557810007
1418.5,281.67318514818515
719,281.67318514818515
369,572.9456557810007
132,572.9456557810007
57,170.33750000000003
660,61.983333333333334
43,61.983333333333334
799,424.05
316,454.257380952381
984,424.05
494,399.225
132,147.075
83,147.075
65,113.01131493506492
244,500.47004329004324
270,500.47004329004324
360,512.1675
280.5,386.315
283,333.9555952380952
1069,418.29555555555555
198.5,162.82919913419911
160.5,162.82919913419911
152,195.67664835164834
115,162.82919913419911
107,59.72615079365075
54,68.10670496170492
215,59.72615079365075
44,68.10670496170492
161,59.72615079365075
55,59.72615079365075
1758,199.14999999999998
1525,237.49583333333334
163.5,237.49583333333334
112,239.2418759018759
140.5,263.5267857142857
103.5,121.95202380952381
241,239.2418759018759
308,435.8237301587302
265,435.8237301587302
206,435.8237301587302
91,231.10916666666668
60,413.74555555555554
13,154.01500000000001
70.5,50.070833333333326
34,75.36999999999998
100,49.74916666666665
101,279.16613247863245
53.5,100.73708333333332
241,201.03130952380954
