stop_id,stop_name,day,total_usage,num_routes,earliest,latest,num_arrivals,arrival_diff,stop_type
9848,Hatfield Government Center MAX Station,0,877.0,3,0,1380,77,17.92207792207792,MAX Station
9848,Hatfield Government Center MAX Station,1,661.0,2,0,1380,70,19.714285714285715,MAX Station
9846,Hillsboro Central/SE 3rd TC MAX Station,0,525.0,3,0,1380,77,17.92207792207792,MAX Station
9846,Hillsboro Central/SE 3rd TC MAX Station,1,376.5,2,0,1380,70,19.714285714285715,MAX Station
9843,Hillsboro Health District MAX Station,0,216.0,3,0,1380,77,17.92207792207792,MAX Station
9843,Hillsboro Health District MAX Station,1,124.5,2,0,1380,70,19.714285714285715,MAX Station
9841,Washington/SE 12th Ave MAX Station,0,244.0,3,0,1380,77,17.92207792207792,MAX Station
9841,Washington/SE 12th Ave MAX Station,1,185.0,2,0,1380,70,19.714285714285715,MAX Station
9838,Hillsboro Airport/Fairgrounds MAX Stn,0,597.0,5,0,1380,152,9.078947368421053,MAX Station
9838,Hillsboro Airport/Fairgrounds MAX Stn,1,435.0,4,0,1380,140,9.857142857142858,MAX Station
9839,Hawthorn Farm MAX Station,0,180.0,5,0,1380,152,9.078947368421053,MAX Station
9839,Hawthorn Farm MAX Station,1,109.0,4,0,1380,140,9.857142857142858,MAX Station
9835,Orenco MAX Station,0,577.0,5,0,1380,152,9.078947368421053,MAX Station
9835,Orenco MAX Station,1,400.5,4,0,1380,140,9.857142857142858,MAX Station
9834,Quatama MAX Station,0,511.0,5,0,1380,152,9.078947368421053,MAX Station
9834,Quatama MAX Station,1,361.5,4,0,1380,140,9.857142857142858,MAX Station
9831,Willow Creek/SW 185th Ave TC MAX Station,0,667.0,3,0,1380,137,10.072992700729927,MAX Station
9831,Willow Creek/SW 185th Ave TC MAX Station,1,402.5,2,300,1320,120,8.5,MAX Station
9830,Elmonica/SW 170th Ave MAX Station,0,463.0,3,0,1380,139,9.928057553956835,MAX Station
9830,Elmonica/SW 170th Ave MAX Station,1,365.0,2,180,1320,123,9.268292682926829,MAX Station
9828,Merlo Rd/SW 158th Ave MAX Station,0,330.0,3,0,1380,140,9.857142857142858,MAX Station
9828,Merlo Rd/SW 158th Ave MAX Station,1,198.0,2,180,1320,124,9.193548387096774,MAX Station
9822,Beaverton Creek MAX Station,0,251.0,3,0,1380,140,9.857142857142858,MAX Station
9822,Beaverton Creek MAX Station,1,139.0,2,180,1320,124,9.193548387096774,MAX Station
9826,Millikan Way MAX Station,0,517.0,3,0,1380,140,9.857142857142858,MAX Station
9826,Millikan Way MAX Station,1,357.0,2,180,1320,124,9.193548387096774,MAX Station
9824,Beaverton Central MAX Station,0,426.0,3,0,1380,140,9.857142857142858,MAX Station
9824,Beaverton Central MAX Station,1,324.5,2,180,1320,124,9.193548387096774,MAX Station
9821,Beaverton TC MAX Station,0,1391.0,3,0,1380,140,9.857142857142858,MAX Station
9821,Beaverton TC MAX Station,1,1057.0,2,180,1380,124,9.67741935483871,MAX Station
9969,Sunset TC MAX Station,0,1190.0,3,0,1380,140,9.857142857142858,MAX Station
9969,Sunset TC MAX Station,1,1029.0,2,180,1380,124,9.67741935483871,MAX Station
10120,Washington Park MAX Station,0,255.0,3,0,1380,140,9.857142857142858,MAX Station
10120,Washington Park MAX Station,1,355.5,2,180,1380,124,9.67741935483871,MAX Station
10118,Goose Hollow/SW Jefferson St MAX Station,0,316.0,3,0,1380,140,9.857142857142858,MAX Station
10118,Goose Hollow/SW Jefferson St MAX Station,1,243.0,2,180,1380,124,9.67741935483871,MAX Station
9758,Providence Park MAX Station,0,999.0,3,0,1380,140,9.857142857142858,MAX Station
9758,Providence Park MAX Station,1,922.0,2,180,1380,124,9.67741935483871,MAX Station
8333,Library/SW 9th Ave MAX Station,0,710.0,3,0,1380,140,9.857142857142858,MAX Station
8333,Library/SW 9th Ave MAX Station,1,614.0,2,180,1380,124,9.67741935483871,MAX Station
8334,Pioneer Square South MAX Station,0,893.0,3,0,1380,140,9.857142857142858,MAX Station
8334,Pioneer Square South MAX Station,1,751.0,2,180,1380,124,9.67741935483871,MAX Station
8336,Yamhill District MAX Station,0,426.0,3,0,1380,140,9.857142857142858,MAX Station
8336,Yamhill District MAX Station,1,272.5,2,240,1380,124,9.193548387096774,MAX Station
8337,Oak/ SW 1st Ave MAX Station,0,257.0,3,0,1380,140,9.857142857142858,MAX Station
8337,Oak/ SW 1st Ave MAX Station,1,241.5,2,240,1380,124,9.193548387096774,MAX Station
8338,Skidmore Fountain MAX Station,0,281.0,3,0,1380,140,9.857142857142858,MAX Station
8338,Skidmore Fountain MAX Station,1,397.0,2,240,1380,124,9.193548387096774,MAX Station
8339,Old Town/Chinatown MAX Station,0,502.0,3,0,1380,140,9.857142857142858,MAX Station
8339,Old Town/Chinatown MAX Station,1,463.5,2,240,1380,124,9.193548387096774,MAX Station
8340,Rose Quarter TC MAX Station,0,1441.0,4,0,1380,213,6.47887323943662,MAX Station
8340,Rose Quarter TC MAX Station,1,1112.0,4,0,1380,188,7.340425531914893,MAX Station
8341,Convention Center MAX Station,0,634.0,4,0,1380,213,6.47887323943662,MAX Station
8341,Convention Center MAX Station,1,550.5,4,0,1380,188,7.340425531914893,MAX Station
8342,NE 7th Ave MAX Station,0,434.0,4,0,1380,213,6.47887323943662,MAX Station
8342,NE 7th Ave MAX Station,1,294.0,4,0,1380,188,7.340425531914893,MAX Station
8343,Lloyd Center/NE 11th Ave MAX Station,0,870.0,4,0,1380,213,6.47887323943662,MAX Station
8343,Lloyd Center/NE 11th Ave MAX Station,1,520.5,4,0,1380,188,7.340425531914893,MAX Station
8344,Hollywood/NE 42nd Ave MAX Station,0,545.0,4,0,1380,213,6.47887323943662,MAX Station
8344,Hollywood/NE 42nd Ave MAX Station,1,431.0,4,0,1380,188,7.340425531914893,MAX Station
8345,NE 60th Ave MAX Station,0,267.0,4,0,1380,213,6.47887323943662,MAX Station
8345,NE 60th Ave MAX Station,1,204.5,4,0,1380,188,7.340425531914893,MAX Station
8346,NE 82nd Ave MAX Station,0,655.0,4,0,1380,213,6.47887323943662,MAX Station
8346,NE 82nd Ave MAX Station,1,455.0,4,0,1380,188,7.340425531914893,MAX Station
8347,Gateway/NE 99th Ave TC MAX Station,0,2532.0,4,0,1380,230,6.0,MAX Station
8347,Gateway/NE 99th Ave TC MAX Station,1,2018.5,4,0,1380,202,6.8316831683168315,MAX Station
8348,E 102nd Ave MAX Station,0,461.0,2,0,1380,92,15.0,MAX Station
8348,E 102nd Ave MAX Station,1,319.5,2,0,1380,81,17.037037037037038,MAX Station
8349,E 122nd Ave MAX Station,0,555.0,2,0,1380,92,15.0,MAX Station
8349,E 122nd Ave MAX Station,1,409.5,2,0,1380,81,17.037037037037038,MAX Station
8350,E 148th Ave MAX Station,0,306.0,2,0,1380,92,15.0,MAX Station
8350,E 148th Ave MAX Station,1,242.5,2,0,1380,81,17.037037037037038,MAX Station
8351,E 162nd Ave MAX Station,0,249.0,2,0,1380,92,15.0,MAX Station
8351,E 162nd Ave MAX Station,1,182.5,2,0,1380,81,17.037037037037038,MAX Station
8352,E 172nd Ave MAX Station,0,79.0,2,0,1380,92,15.0,MAX Station
8352,E 172nd Ave MAX Station,1,63.0,2,0,1380,81,17.037037037037038,MAX Station
8353,E 181st Ave MAX Station,0,160.0,2,0,1380,92,15.0,MAX Station
8353,E 181st Ave MAX Station,1,114.5,2,0,1380,81,17.037037037037038,MAX Station
8354,Rockwood/E 188th Ave MAX Station,0,145.0,2,0,1380,92,15.0,MAX Station
8354,Rockwood/E 188th Ave MAX Station,1,108.5,2,0,1380,81,17.037037037037038,MAX Station
8355,Ruby Junction/E 197th Ave MAX Station,0,139.0,1,0,1380,69,20.0,MAX Station
8355,Ruby Junction/E 197th Ave MAX Station,1,104.0,1,0,1380,61,22.62295081967213,MAX Station
13450,Civic Drive MAX Station,0,77.0,1,0,1380,78,17.692307692307693,MAX Station
13450,Civic Drive MAX Station,1,53.0,1,0,1380,69,20.0,MAX Station
8356,Gresham City Hall MAX Station,0,43.0,1,0,1380,78,17.692307692307693,MAX Station
8356,Gresham City Hall MAX Station,1,36.5,1,0,1380,69,20.0,MAX Station
8357,Gresham Central TC MAX Station,0,64.0,1,0,1380,78,17.692307692307693,MAX Station
8357,Gresham Central TC MAX Station,1,49.0,1,0,1380,69,20.0,MAX Station
8359,Cleveland Ave MAX Station,0,973.0,1,240,1380,72,15.833333333333334,MAX Station
8359,Cleveland Ave MAX Station,1,758.5,1,300,1320,61,16.721311475409838,MAX Station
8360,Gresham Central TC MAX Station,0,479.0,1,0,1380,72,19.166666666666668,MAX Station
8360,Gresham Central TC MAX Station,1,312.0,1,300,1320,61,16.721311475409838,MAX Station
8361,Gresham City Hall MAX Station,0,192.0,1,0,1380,72,19.166666666666668,MAX Station
8361,Gresham City Hall MAX Station,1,138.5,1,300,1380,61,17.704918032786885,MAX Station
13449,Civic Drive MAX Station,0,215.0,1,0,1380,72,19.166666666666668,MAX Station
13449,Civic Drive MAX Station,1,155.5,1,300,1380,61,17.704918032786885,MAX Station
8362,Ruby Junction/E 197th Ave MAX Station,0,206.0,3,0,1380,92,15.0,MAX Station
8362,Ruby Junction/E 197th Ave MAX Station,1,166.5,3,180,1380,81,14.814814814814815,MAX Station
8363,Rockwood/E 188th Ave MAX Station,0,441.0,3,0,1380,92,15.0,MAX Station
8363,Rockwood/E 188th Ave MAX Station,1,342.5,3,180,1380,81,14.814814814814815,MAX Station
8364,E 181st Ave MAX Station,0,507.0,3,0,1380,92,15.0,MAX Station
8364,E 181st Ave MAX Station,1,363.5,3,180,1380,81,14.814814814814815,MAX Station
8365,E 172nd Ave MAX Station,0,198.0,3,0,1380,92,15.0,MAX Station
8365,E 172nd Ave MAX Station,1,153.5,3,180,1380,81,14.814814814814815,MAX Station
8366,E 162nd Ave MAX Station,0,731.0,3,0,1380,92,15.0,MAX Station
8366,E 162nd Ave MAX Station,1,555.5,3,180,1380,81,14.814814814814815,MAX Station
8367,E 148th Ave MAX Station,0,639.0,3,0,1380,92,15.0,MAX Station
8367,E 148th Ave MAX Station,1,505.5,3,180,1380,81,14.814814814814815,MAX Station
8368,E 122nd Ave MAX Station,0,922.0,3,0,1380,92,15.0,MAX Station
8368,E 122nd Ave MAX Station,1,677.5,3,180,1380,81,14.814814814814815,MAX Station
8369,E 102nd Ave MAX Station,0,393.0,3,0,1380,92,15.0,MAX Station
8369,E 102nd Ave MAX Station,1,302.5,3,180,1380,81,14.814814814814815,MAX Station
8370,Gateway/NE 99th Ave TC MAX Station,0,1312.0,5,0,1380,162,8.518518518518519,MAX Station
8370,Gateway/NE 99th Ave TC MAX Station,1,970.0,5,0,1380,139,9.928057553956835,MAX Station
8371,NE 82nd Ave MAX Station,0,662.0,4,0,1380,213,6.47887323943662,MAX Station
8371,NE 82nd Ave MAX Station,1,450.5,4,0,1380,188,7.340425531914893,MAX Station
8372,NE 60th Ave MAX Station,0,460.0,4,0,1380,213,6.47887323943662,MAX Station
8372,NE 60th Ave MAX Station,1,337.5,4,0,1380,188,7.340425531914893,MAX Station
8373,Hollywood/NE 42nd Ave MAX Station,0,573.0,4,0,1380,213,6.47887323943662,MAX Station
8373,Hollywood/NE 42nd Ave MAX Station,1,489.0,4,0,1380,188,7.340425531914893,MAX Station
8374,Lloyd Center/NE 11th Ave MAX Station,0,714.0,4,0,1380,213,6.47887323943662,MAX Station
8374,Lloyd Center/NE 11th Ave MAX Station,1,541.0,4,0,1380,188,7.340425531914893,MAX Station
8375,NE 7th Ave MAX Station,0,377.0,4,0,1380,213,6.47887323943662,MAX Station
8375,NE 7th Ave MAX Station,1,273.0,4,0,1380,188,7.340425531914893,MAX Station
8376,Convention Center MAX Station,0,621.0,4,0,1380,213,6.47887323943662,MAX Station
8376,Convention Center MAX Station,1,623.5,4,0,1380,188,7.340425531914893,MAX Station
8377,Rose Quarter TC MAX Station,0,883.0,4,0,1380,213,6.47887323943662,MAX Station
8377,Rose Quarter TC MAX Station,1,825.0,4,0,1380,188,7.340425531914893,MAX Station
8378,Old Town/Chinatown MAX Station,0,264.0,2,0,1380,140,9.857142857142858,MAX Station
8378,Old Town/Chinatown MAX Station,1,216.5,2,0,1380,124,11.129032258064516,MAX Station
8379,Skidmore Fountain MAX Station,0,250.0,2,0,1380,140,9.857142857142858,MAX Station
8379,Skidmore Fountain MAX Station,1,398.5,2,0,1380,124,11.129032258064516,MAX Station
8380,Oak/ SW 1st Ave MAX Station,0,247.0,2,0,1380,140,9.857142857142858,MAX Station
8380,Oak/ SW 1st Ave MAX Station,1,189.0,2,0,1380,124,11.129032258064516,MAX Station
8381,Morrison/SW 3rd Ave MAX Station,0,494.0,3,0,1380,140,9.857142857142858,MAX Station
8381,Morrison/SW 3rd Ave MAX Station,1,274.5,3,0,1380,124,11.129032258064516,MAX Station
8383,Pioneer Square North MAX Station,0,2028.0,3,0,1380,140,9.857142857142858,MAX Station
8383,Pioneer Square North MAX Station,1,1418.5,3,0,1380,124,11.129032258064516,MAX Station
8384,Galleria/SW 10th Ave MAX Station,0,857.0,3,0,1380,140,9.857142857142858,MAX Station
8384,Galleria/SW 10th Ave MAX Station,1,719.0,3,0,1380,124,11.129032258064516,MAX Station
9757,Providence Park MAX Station,0,773.0,3,0,1380,140,9.857142857142858,MAX Station
9757,Providence Park MAX Station,1,707.0,3,0,1380,124,11.129032258064516,MAX Station
10117,Goose Hollow/SW Jefferson St MAX Station,0,504.0,3,0,1380,140,9.857142857142858,MAX Station
10117,Goose Hollow/SW Jefferson St MAX Station,1,295.5,3,0,1380,124,11.129032258064516,MAX Station
10121,Washington Park MAX Station,0,178.0,3,0,1380,140,9.857142857142858,MAX Station
10121,Washington Park MAX Station,1,238.5,3,0,1380,124,11.129032258064516,MAX Station
9624,Sunset TC MAX Station,0,351.0,3,0,1380,140,9.857142857142858,MAX Station
9624,Sunset TC MAX Station,1,209.0,3,0,1380,124,11.129032258064516,MAX Station
